age,gender,income,person_id,year_of_member,month_of_member,day_of_member
71.0,M,69000.0,10600,2015,6,2
51.0,M,106000.0,10955,2017,11,16
73.0,F,80000.0,2760,2017,3,3
65.0,F,80000.0,12924,2018,1,12
63.0,F,108000.0,7571,2017,11,27
42.0,M,57000.0,1561,2014,1,2
81.0,F,77000.0,12999,2016,7,1
73.0,F,100000.0,13151,2017,12,21
53.0,M,81000.0,2523,2017,11,26
31.0,M,35000.0,2259,2016,5,14
35.0,M,70000.0,49,2018,2,26
84.0,M,63000.0,1958,2014,2,15
40.0,M,56000.0,11367,2017,12,10
62.0,F,72000.0,3875,2017,9,24
21.0,M,70000.0,10441,2018,2,23
74.0,F,104000.0,15368,2018,1,20
64.0,F,102000.0,10564,2015,8,22
56.0,M,47000.0,2882,2018,1,22
67.0,F,86000.0,16379,2017,12,30
50.0,M,37000.0,6296,2015,11,24
85.0,F,96000.0,14086,2017,2,26
68.0,M,52000.0,2050,2017,12,3
24.0,F,56000.0,12229,2018,1,12
40.0,F,61000.0,14127,2016,9,4
26.0,F,72000.0,3584,2016,12,7
45.0,F,61000.0,5947,2018,3,17
59.0,M,105000.0,8896,2017,6,6
74.0,F,91000.0,6976,2016,1,14
51.0,M,61000.0,6209,2015,6,24
39.0,M,45000.0,6370,2018,7,14
65.0,F,87000.0,5905,2015,9,15
76.0,M,109000.0,15287,2017,10,19
42.0,F,39000.0,2727,2018,2,23
60.0,F,92000.0,16557,2018,2,13
71.0,M,64000.0,3970,2018,4,17
83.0,F,94000.0,7901,2017,12,7
57.0,M,65000.0,9657,2013,8,18
47.0,F,33000.0,1159,2017,12,21
55.0,F,103000.0,1927,2017,10,14
20.0,M,44000.0,16991,2018,3,15
23.0,F,61000.0,10482,2016,12,2
78.0,M,103000.0,12909,2018,7,25
24.0,M,54000.0,15063,2018,7,6
71.0,F,52000.0,1108,2018,2,21
80.0,M,71000.0,15168,2017,8,1
49.0,M,89000.0,953,2016,10,9
48.0,M,37000.0,9466,2018,6,11
88.0,F,71000.0,10169,2015,10,25
54.0,M,61000.0,14087,2017,3,27
46.0,M,67000.0,5861,2017,11,23
53.0,F,98000.0,13465,2018,7,17
61.0,M,35000.0,13698,2018,5,25
50.0,M,66000.0,10775,2013,8,15
26.0,F,54000.0,6310,2018,3,5
61.0,F,84000.0,3398,2017,8,18
80.0,M,50000.0,16180,2017,7,16
22.0,F,52000.0,14267,2016,1,19
62.0,F,107000.0,5245,2016,9,25
101.0,F,99000.0,14065,2015,5,26
83.0,M,40000.0,13793,2018,5,9
37.0,M,52000.0,7078,2016,4,10
20.0,O,61000.0,14133,2015,7,2
37.0,M,54000.0,4145,2018,2,20
60.0,F,58000.0,7125,2017,11,15
20.0,M,49000.0,5249,2018,5,21
85.0,M,70000.0,14662,2017,11,28
44.0,M,77000.0,4702,2017,10,10
81.0,M,60000.0,2807,2018,3,2
55.0,M,108000.0,5663,2017,10,10
73.0,M,63000.0,4299,2016,3,1
64.0,M,41000.0,9577,2017,10,27
74.0,M,45000.0,10674,2015,9,16
58.0,F,41000.0,7670,2017,4,26
64.0,M,74000.0,2834,2018,2,12
44.0,F,72000.0,6253,2017,11,1
64.0,M,42000.0,10889,2018,5,10
68.0,M,57000.0,8383,2018,2,15
90.0,F,57000.0,7040,2018,4,27
38.0,M,86000.0,7706,2017,8,19
82.0,M,76000.0,10548,2015,11,10
91.0,F,74000.0,5892,2018,5,17
78.0,F,36000.0,334,2013,8,24
46.0,M,47000.0,11860,2017,9,21
88.0,M,111000.0,16236,2016,7,30
72.0,M,74000.0,15087,2017,11,15
39.0,F,55000.0,15340,2014,11,14
60.0,M,73000.0,12322,2015,12,29
64.0,M,117000.0,16270,2017,8,5
48.0,M,40000.0,3563,2018,6,10
49.0,F,45000.0,2168,2018,1,22
43.0,F,33000.0,12410,2017,10,26
30.0,M,65000.0,2559,2017,7,21
40.0,M,70000.0,2013,2016,9,16
18.0,M,40000.0,12469,2014,8,20
61.0,F,40000.0,12883,2018,3,28
49.0,M,72000.0,6155,2018,6,19
69.0,M,110000.0,13120,2018,1,30
68.0,M,77000.0,13945,2016,10,28
77.0,M,44000.0,5085,2017,9,25
63.0,M,92000.0,4955,2015,12,5
61.0,M,56000.0,4020,2017,12,8
55.0,M,56000.0,12532,2018,3,19
74.0,F,64000.0,11798,2017,9,8
66.0,M,52000.0,7272,2014,10,31
58.0,F,76000.0,2366,2018,3,22
49.0,F,66000.0,12600,2017,6,23
37.0,M,60000.0,13842,2016,8,3
72.0,F,57000.0,5577,2013,9,2
56.0,F,88000.0,2491,2017,12,9
22.0,M,64000.0,10638,2018,2,10
59.0,M,51000.0,13103,2018,5,7
42.0,M,97000.0,12549,2016,12,27
38.0,F,43000.0,15286,2015,10,29
52.0,M,61000.0,11608,2015,12,24
37.0,M,64000.0,5455,2018,3,8
44.0,M,83000.0,217,2016,11,15
59.0,F,60000.0,9017,2017,8,10
55.0,O,90000.0,14352,2017,8,15
57.0,M,118000.0,11253,2017,9,22
54.0,M,71000.0,12040,2017,6,7
51.0,F,48000.0,12241,2018,3,4
58.0,F,42000.0,2296,2015,11,17
63.0,M,68000.0,7404,2018,6,15
34.0,M,66000.0,6044,2017,11,29
63.0,F,65000.0,5416,2014,2,22
51.0,F,74000.0,10756,2016,6,19
33.0,M,31000.0,3366,2017,8,21
37.0,M,38000.0,6598,2014,5,22
54.0,F,41000.0,6386,2016,6,24
90.0,F,33000.0,9026,2016,10,11
58.0,M,61000.0,11353,2018,1,30
89.0,F,67000.0,10858,2017,12,13
51.0,F,72000.0,10874,2016,2,5
53.0,O,97000.0,2217,2018,1,4
48.0,M,57000.0,10651,2017,2,28
27.0,M,73000.0,16035,2017,5,20
38.0,F,54000.0,15257,2018,5,13
64.0,F,98000.0,8958,2018,3,29
60.0,F,113000.0,15977,2015,9,19
51.0,F,54000.0,14703,2013,9,13
74.0,F,58000.0,4826,2018,2,24
62.0,M,57000.0,7741,2018,3,18
46.0,F,63000.0,12607,2016,6,17
32.0,F,53000.0,13692,2016,5,30
77.0,O,51000.0,3190,2017,8,10
62.0,M,69000.0,4467,2017,7,15
30.0,M,39000.0,3541,2016,9,19
73.0,M,58000.0,12582,2018,4,22
61.0,M,53000.0,11816,2018,4,25
40.0,O,57000.0,2,2018,1,9
55.0,M,39000.0,7987,2014,7,12
52.0,F,113000.0,2673,2016,5,18
53.0,M,45000.0,5750,2016,9,20
57.0,F,102000.0,14852,2017,11,3
69.0,F,115000.0,16318,2018,2,26
18.0,F,73000.0,15902,2017,2,23
24.0,M,71000.0,6017,2018,1,9
19.0,M,59000.0,13877,2017,11,26
66.0,F,113000.0,414,2016,7,24
43.0,F,69000.0,3368,2017,1,25
60.0,F,116000.0,15194,2017,6,2
50.0,F,78000.0,13034,2018,1,9
18.0,M,61000.0,4743,2017,9,20
89.0,M,84000.0,1625,2016,4,29
47.0,F,30000.0,7175,2015,8,10
21.0,F,49000.0,3984,2017,9,20
56.0,F,98000.0,10103,2018,3,31
53.0,M,56000.0,2269,2018,1,23
86.0,F,95000.0,14648,2017,3,23
62.0,M,52000.0,16739,2016,3,28
56.0,F,55000.0,8043,2018,4,5
60.0,F,82000.0,13114,2016,11,20
18.0,M,56000.0,2560,2013,8,8
59.0,M,87000.0,11992,2018,4,19
56.0,M,61000.0,7117,2017,7,22
41.0,F,64000.0,11246,2016,2,5
41.0,F,55000.0,8600,2015,3,15
51.0,F,30000.0,10320,2018,5,15
25.0,F,45000.0,9874,2017,6,6
51.0,M,62000.0,16435,2017,1,2
45.0,M,99000.0,1480,2017,8,13
73.0,M,52000.0,12066,2018,7,18
65.0,M,58000.0,14663,2018,5,19
63.0,M,89000.0,714,2015,12,29
93.0,M,35000.0,309,2017,9,4
55.0,M,30000.0,10841,2018,2,19
91.0,M,51000.0,11534,2017,11,9
47.0,M,71000.0,8237,2017,3,26
26.0,M,67000.0,8471,2018,5,21
71.0,M,51000.0,7224,2018,1,21
38.0,F,64000.0,1058,2016,3,25
22.0,M,43000.0,3309,2018,1,15
70.0,F,118000.0,6319,2017,4,14
68.0,F,106000.0,5264,2017,8,19
31.0,M,65000.0,7045,2016,11,13
54.0,F,116000.0,11653,2016,3,22
41.0,F,33000.0,10448,2015,12,13
24.0,M,40000.0,5010,2016,1,29
71.0,F,82000.0,15079,2016,8,10
48.0,M,70000.0,11375,2017,12,5
83.0,F,97000.0,2098,2016,12,16
73.0,M,59000.0,15360,2014,11,8
29.0,F,68000.0,2975,2017,4,28
88.0,F,92000.0,3101,2017,9,11
27.0,F,58000.0,1181,2018,2,25
40.0,M,89000.0,11517,2017,8,5
46.0,F,51000.0,11189,2018,1,14
64.0,M,68000.0,13725,2017,9,18
34.0,M,37000.0,16123,2017,9,30
49.0,M,73000.0,10400,2017,7,27
69.0,M,106000.0,14695,2017,11,7
85.0,M,33000.0,7602,2017,12,30
57.0,M,98000.0,11193,2017,5,20
34.0,M,31000.0,10329,2014,11,15
52.0,F,34000.0,8672,2018,3,23
64.0,F,86000.0,9892,2015,5,6
43.0,M,41000.0,962,2016,9,10
68.0,M,59000.0,6740,2018,1,27
64.0,F,94000.0,7836,2017,2,20
100.0,M,98000.0,11874,2015,9,11
42.0,F,65000.0,4021,2018,1,19
51.0,M,66000.0,12574,2015,5,20
19.0,F,61000.0,1556,2017,12,5
34.0,M,31000.0,6130,2018,5,17
30.0,O,31000.0,10959,2017,4,1
62.0,M,72000.0,10697,2017,6,21
58.0,F,100000.0,15472,2018,6,25
24.0,M,35000.0,12431,2017,12,13
70.0,F,89000.0,14604,2016,6,20
55.0,M,72000.0,8960,2016,1,30
71.0,M,44000.0,1659,2015,6,23
65.0,F,84000.0,9110,2016,8,2
26.0,M,33000.0,12524,2014,3,16
72.0,M,34000.0,11916,2015,10,17
82.0,F,90000.0,7466,2016,4,1
58.0,M,80000.0,13288,2018,1,4
21.0,M,41000.0,14844,2017,1,1
65.0,M,117000.0,894,2016,9,14
25.0,M,39000.0,5614,2018,6,2
26.0,M,60000.0,6146,2017,5,26
58.0,F,94000.0,13773,2016,8,31
51.0,F,75000.0,9358,2016,12,22
69.0,F,71000.0,5676,2016,8,6
54.0,F,103000.0,2320,2017,11,7
42.0,M,78000.0,9136,2017,9,16
62.0,F,41000.0,3767,2018,3,8
80.0,F,64000.0,16238,2018,6,24
75.0,F,67000.0,5612,2017,12,9
26.0,M,49000.0,16065,2018,2,13
73.0,M,72000.0,8624,2017,11,19
33.0,M,72000.0,12627,2015,9,2
28.0,M,37000.0,14002,2018,5,11
57.0,M,46000.0,8126,2015,12,21
54.0,M,65000.0,16880,2015,9,29
50.0,F,102000.0,370,2017,9,2
67.0,M,99000.0,295,2017,8,2
60.0,F,83000.0,11600,2018,4,25
66.0,M,42000.0,7033,2016,8,6
70.0,M,74000.0,11119,2015,11,24
24.0,F,68000.0,9707,2017,12,20
60.0,M,79000.0,16737,2016,10,25
46.0,M,79000.0,3718,2018,5,30
25.0,F,67000.0,7300,2018,4,22
59.0,F,76000.0,15567,2016,12,13
56.0,F,38000.0,1636,2017,9,20
25.0,M,60000.0,4269,2018,5,12
53.0,F,65000.0,12699,2017,5,31
39.0,F,96000.0,6162,2016,7,2
64.0,M,70000.0,16031,2015,4,13
47.0,M,45000.0,16413,2014,9,1
35.0,M,61000.0,14680,2016,9,15
40.0,M,51000.0,438,2017,11,18
82.0,M,73000.0,13910,2017,7,6
18.0,M,56000.0,4932,2017,9,7
66.0,F,73000.0,9392,2017,11,21
68.0,F,82000.0,9810,2018,5,8
50.0,M,56000.0,13521,2015,10,17
84.0,F,45000.0,14209,2017,8,16
66.0,M,70000.0,13925,2018,2,19
55.0,M,56000.0,14130,2016,4,10
64.0,M,43000.0,134,2018,1,2
83.0,M,97000.0,2921,2017,8,27
87.0,F,48000.0,15578,2018,4,8
64.0,M,36000.0,16630,2017,12,21
23.0,F,70000.0,15174,2016,11,30
24.0,M,39000.0,16124,2015,9,21
58.0,M,109000.0,5545,2017,6,6
27.0,F,66000.0,482,2016,12,31
76.0,M,92000.0,6727,2018,7,26
60.0,F,100000.0,1713,2016,2,15
64.0,M,68000.0,10544,2015,10,8
40.0,M,51000.0,8392,2018,2,24
25.0,M,34000.0,12585,2017,10,8
74.0,M,57000.0,11417,2017,10,4
56.0,F,59000.0,16309,2017,2,20
58.0,M,39000.0,16606,2018,6,20
76.0,M,52000.0,7691,2018,1,1
46.0,M,68000.0,5529,2016,1,15
25.0,F,36000.0,6963,2017,12,30
64.0,M,62000.0,10813,2018,7,10
20.0,M,37000.0,7513,2014,7,29
58.0,M,57000.0,1917,2018,4,10
60.0,M,40000.0,5314,2017,10,24
49.0,F,77000.0,604,2016,11,13
62.0,M,42000.0,7267,2017,11,19
39.0,F,31000.0,11584,2017,12,29
51.0,M,54000.0,3830,2017,7,28
75.0,F,34000.0,6917,2017,11,11
69.0,M,57000.0,11491,2015,11,13
41.0,M,53000.0,16301,2018,3,31
52.0,F,67000.0,9311,2018,4,17
53.0,F,105000.0,2199,2018,1,25
31.0,M,45000.0,8646,2017,12,27
58.0,F,115000.0,43,2017,12,11
24.0,M,32000.0,14721,2015,2,20
48.0,F,85000.0,14580,2016,1,21
52.0,M,37000.0,12438,2017,10,4
37.0,M,48000.0,9962,2017,10,16
36.0,F,31000.0,7553,2017,11,15
67.0,M,106000.0,6398,2017,5,15
53.0,F,67000.0,10206,2016,11,18
99.0,F,85000.0,5836,2015,11,13
50.0,F,115000.0,3812,2018,1,8
58.0,F,100000.0,14051,2017,5,17
66.0,M,53000.0,10189,2018,7,15
32.0,F,51000.0,888,2017,11,24
24.0,F,45000.0,4837,2017,1,28
68.0,F,71000.0,13648,2013,12,31
65.0,M,74000.0,8627,2017,10,3
56.0,M,106000.0,9828,2016,2,28
76.0,M,49000.0,14883,2018,4,26
68.0,M,52000.0,1144,2015,12,11
93.0,M,52000.0,586,2017,12,18
47.0,M,57000.0,4635,2017,1,9
53.0,M,53000.0,8018,2017,8,2
29.0,M,45000.0,6830,2018,5,25
66.0,F,72000.0,3865,2018,1,9
78.0,F,115000.0,10572,2016,8,1
38.0,F,61000.0,10587,2017,11,13
76.0,M,36000.0,14279,2017,7,30
61.0,O,53000.0,9772,2017,12,7
78.0,M,64000.0,12307,2017,11,19
49.0,M,107000.0,16454,2016,7,31
51.0,M,60000.0,4827,2015,11,28
32.0,M,50000.0,12254,2015,9,8
61.0,M,106000.0,10695,2018,2,2
49.0,M,44000.0,5377,2017,10,1
84.0,F,38000.0,12199,2017,9,18
58.0,M,87000.0,4615,2018,3,22
56.0,F,104000.0,4424,2016,6,2
51.0,M,55000.0,5252,2018,4,17
67.0,F,95000.0,14404,2018,5,17
52.0,F,97000.0,8343,2013,10,21
86.0,F,92000.0,8829,2017,2,2
30.0,F,34000.0,2946,2016,9,3
46.0,M,79000.0,4335,2018,7,15
51.0,F,77000.0,16889,2016,7,8
57.0,M,42000.0,1564,2017,12,20
52.0,F,40000.0,13720,2017,5,23
72.0,F,92000.0,8271,2016,10,6
62.0,M,46000.0,15139,2017,10,21
62.0,M,89000.0,7550,2017,4,28
91.0,F,71000.0,9591,2014,4,7
51.0,F,57000.0,9361,2017,7,28
55.0,O,69000.0,10209,2017,9,26
54.0,F,99000.0,2936,2018,5,15
64.0,F,99000.0,11113,2018,7,1
65.0,F,43000.0,2689,2016,12,16
38.0,F,38000.0,2809,2017,6,18
73.0,M,52000.0,10819,2017,1,30
91.0,F,31000.0,10886,2016,9,4
69.0,M,53000.0,12626,2018,5,25
67.0,F,68000.0,2640,2016,4,20
58.0,M,110000.0,11563,2017,8,13
47.0,M,53000.0,9209,2017,12,28
67.0,F,80000.0,9157,2017,10,17
64.0,M,56000.0,7058,2015,9,25
50.0,M,83000.0,9278,2017,10,16
41.0,F,72000.0,9796,2016,1,4
43.0,M,72000.0,11432,2015,11,2
48.0,M,32000.0,3729,2016,8,1
78.0,M,55000.0,15562,2015,4,21
74.0,M,69000.0,11964,2018,5,1
49.0,M,70000.0,4777,2017,4,3
21.0,F,42000.0,12088,2018,1,15
52.0,M,31000.0,6679,2017,8,15
37.0,M,74000.0,15192,2018,5,22
55.0,F,83000.0,11902,2017,8,7
43.0,M,93000.0,11070,2018,7,11
63.0,M,49000.0,4117,2016,10,6
30.0,F,75000.0,10216,2017,3,5
19.0,M,71000.0,2999,2017,10,26
50.0,M,88000.0,1848,2014,1,25
58.0,F,109000.0,8785,2016,4,24
59.0,M,68000.0,3100,2013,9,25
28.0,F,55000.0,10101,2017,3,31
36.0,M,67000.0,16058,2018,2,3
78.0,M,44000.0,15419,2018,3,24
52.0,F,65000.0,6472,2018,6,25
92.0,M,48000.0,5168,2017,11,28
42.0,M,38000.0,2830,2018,4,13
93.0,F,70000.0,13769,2017,6,10
45.0,M,85000.0,11408,2018,1,4
60.0,M,34000.0,1088,2016,2,10
58.0,M,40000.0,13898,2014,3,4
69.0,F,48000.0,5850,2017,11,9
59.0,F,97000.0,184,2016,4,4
49.0,F,89000.0,8686,2018,1,11
67.0,F,77000.0,1366,2017,11,8
84.0,M,66000.0,5172,2015,3,1
39.0,F,50000.0,1839,2017,9,24
56.0,F,52000.0,7471,2016,6,21
87.0,F,62000.0,5283,2015,9,28
57.0,O,98000.0,13679,2017,11,7
52.0,F,46000.0,10763,2017,1,15
50.0,M,56000.0,3941,2017,11,26
68.0,F,61000.0,1349,2016,9,18
94.0,M,50000.0,10751,2015,8,9
81.0,F,101000.0,5332,2017,3,1
37.0,F,93000.0,4686,2015,12,26
65.0,M,99000.0,4878,2017,11,2
26.0,F,41000.0,14197,2018,4,28
42.0,M,44000.0,12839,2015,8,5
71.0,M,65000.0,2694,2018,1,9
57.0,M,70000.0,7590,2018,4,19
73.0,F,71000.0,6736,2017,11,14
70.0,M,65000.0,143,2015,1,4
65.0,M,86000.0,8252,2016,5,13
57.0,F,74000.0,13287,2017,3,16
77.0,M,94000.0,11079,2015,8,27
48.0,M,42000.0,7278,2017,8,22
61.0,M,65000.0,10861,2014,1,11
60.0,F,59000.0,2771,2015,12,25
57.0,M,88000.0,11089,2017,10,13
66.0,F,70000.0,5086,2018,5,30
66.0,F,74000.0,2322,2016,11,26
56.0,F,82000.0,1793,2017,4,7
78.0,M,64000.0,13150,2014,1,14
52.0,F,84000.0,8522,2017,4,19
19.0,M,46000.0,7945,2016,2,14
58.0,M,115000.0,14518,2015,9,7
41.0,M,68000.0,7036,2016,4,18
64.0,F,76000.0,16456,2015,11,17
51.0,M,65000.0,12077,2016,7,2
81.0,F,82000.0,15514,2016,7,20
88.0,F,56000.0,1665,2017,12,4
67.0,F,99000.0,5119,2016,7,30
74.0,F,102000.0,8526,2016,2,26
74.0,M,80000.0,16548,2018,1,14
66.0,F,78000.0,7861,2018,1,5
76.0,F,82000.0,3615,2016,11,13
43.0,M,37000.0,642,2018,4,12
70.0,M,83000.0,16721,2018,6,13
73.0,F,99000.0,14621,2017,5,25
30.0,F,31000.0,5254,2016,7,15
83.0,F,60000.0,1719,2014,6,1
49.0,M,73000.0,15656,2017,9,26
68.0,M,38000.0,9815,2013,12,15
28.0,F,66000.0,5241,2015,5,1
59.0,M,33000.0,6627,2016,7,23
58.0,F,117000.0,722,2017,8,18
38.0,M,39000.0,12024,2017,8,3
52.0,M,72000.0,15757,2017,1,30
60.0,M,81000.0,9438,2018,6,25
75.0,F,31000.0,5097,2015,11,10
39.0,M,98000.0,14323,2018,7,7
97.0,F,41000.0,14449,2016,10,30
70.0,M,32000.0,13043,2017,9,28
43.0,F,55000.0,6906,2015,12,12
65.0,M,88000.0,11183,2018,1,27
25.0,F,64000.0,13804,2016,11,17
91.0,F,71000.0,14181,2017,11,27
20.0,F,35000.0,7837,2017,2,6
56.0,F,42000.0,2378,2016,4,16
68.0,M,79000.0,14358,2015,5,5
58.0,M,102000.0,5117,2016,7,7
70.0,F,99000.0,14044,2016,6,30
84.0,M,69000.0,2124,2018,6,26
63.0,F,95000.0,11042,2017,1,17
23.0,M,50000.0,8893,2017,9,16
47.0,M,53000.0,5042,2015,4,25
78.0,M,53000.0,5556,2018,5,16
85.0,M,85000.0,14163,2018,5,3
54.0,O,87000.0,5854,2017,5,14
32.0,M,59000.0,13390,2015,7,31
82.0,M,92000.0,16915,2016,7,31
74.0,M,100000.0,15265,2017,12,14
48.0,M,68000.0,8243,2015,6,19
55.0,M,64000.0,2343,2016,7,4
41.0,M,30000.0,2129,2015,2,26
62.0,M,57000.0,13599,2016,1,13
70.0,M,31000.0,5980,2013,8,11
26.0,M,68000.0,4084,2017,8,9
52.0,F,73000.0,3009,2017,6,25
42.0,F,61000.0,8418,2017,9,27
44.0,F,74000.0,10931,2018,4,5
80.0,F,35000.0,16305,2017,7,2
78.0,M,50000.0,9227,2017,11,20
78.0,M,93000.0,10875,2015,12,31
62.0,F,83000.0,14042,2016,12,24
44.0,F,41000.0,6848,2018,5,20
42.0,M,58000.0,10795,2016,12,25
59.0,M,78000.0,14200,2016,4,14
27.0,M,40000.0,8112,2015,8,2
73.0,F,65000.0,8770,2017,9,20
82.0,M,78000.0,199,2015,11,20
55.0,F,74000.0,7,2018,5,8
73.0,M,61000.0,6329,2018,5,30
72.0,M,102000.0,26,2017,4,7
36.0,F,54000.0,14917,2018,4,21
62.0,F,47000.0,11899,2017,12,29
43.0,M,44000.0,15029,2017,8,1
37.0,M,69000.0,9777,2016,5,25
58.0,M,31000.0,4755,2016,4,28
38.0,M,32000.0,1929,2017,9,13
75.0,F,52000.0,9270,2016,7,11
63.0,M,119000.0,13954,2017,12,31
49.0,F,108000.0,5689,2017,6,5
62.0,M,51000.0,16158,2018,5,31
50.0,M,74000.0,10151,2017,11,19
73.0,M,78000.0,9188,2016,9,26
54.0,M,96000.0,1156,2017,9,5
26.0,F,74000.0,5595,2017,11,11
53.0,M,39000.0,1727,2014,10,3
41.0,F,90000.0,9638,2015,11,19
69.0,M,103000.0,3459,2017,5,11
60.0,M,72000.0,1419,2014,4,19
25.0,M,49000.0,12492,2017,4,8
66.0,M,80000.0,6778,2016,8,17
49.0,M,31000.0,7929,2018,7,11
19.0,M,55000.0,1201,2017,7,30
76.0,F,53000.0,14748,2014,9,22
40.0,M,54000.0,8631,2015,9,2
65.0,F,83000.0,16928,2018,3,25
45.0,F,61000.0,14685,2018,7,22
69.0,F,114000.0,11515,2016,9,9
54.0,M,83000.0,6661,2017,10,4
65.0,M,67000.0,16510,2017,11,6
39.0,M,66000.0,12135,2018,7,14
29.0,M,55000.0,775,2017,6,1
61.0,M,34000.0,15908,2013,10,15
54.0,F,48000.0,13406,2015,5,7
72.0,F,45000.0,4246,2015,9,3
33.0,F,44000.0,6898,2016,1,14
42.0,F,48000.0,7942,2013,10,17
70.0,F,103000.0,13372,2017,6,13
38.0,M,51000.0,12586,2017,8,6
81.0,M,69000.0,2926,2017,4,11
36.0,M,43000.0,3842,2017,9,23
36.0,M,53000.0,10044,2018,3,11
51.0,F,81000.0,4067,2015,7,1
69.0,F,110000.0,15836,2016,8,3
63.0,F,85000.0,9474,2018,5,30
59.0,O,86000.0,7635,2017,8,9
50.0,M,63000.0,4157,2017,6,19
64.0,M,59000.0,3698,2017,9,13
40.0,M,41000.0,12653,2018,4,17
30.0,M,65000.0,13697,2017,6,1
61.0,M,59000.0,11251,2013,12,17
25.0,M,66000.0,4022,2016,8,1
78.0,F,74000.0,4617,2016,12,2
27.0,M,74000.0,10555,2018,7,12
55.0,M,50000.0,10954,2018,1,12
28.0,M,31000.0,3294,2018,3,13
77.0,M,32000.0,12498,2017,12,29
24.0,M,38000.0,5454,2018,6,12
52.0,M,43000.0,6654,2017,1,17
56.0,M,80000.0,7915,2017,4,22
43.0,F,67000.0,16974,2015,7,31
48.0,F,72000.0,3475,2018,5,6
59.0,M,105000.0,12587,2017,7,17
59.0,M,57000.0,12427,2018,7,6
64.0,M,75000.0,2624,2014,8,16
65.0,M,50000.0,14951,2017,10,15
36.0,F,92000.0,11428,2016,6,9
54.0,M,70000.0,161,2018,6,6
72.0,F,49000.0,5384,2018,7,13
73.0,M,85000.0,16397,2017,9,20
43.0,M,100000.0,16757,2016,8,19
39.0,M,96000.0,9444,2017,11,14
33.0,M,44000.0,4008,2018,1,27
51.0,M,75000.0,12710,2016,8,25
80.0,F,77000.0,13557,2014,9,20
25.0,F,67000.0,9620,2017,12,1
48.0,F,64000.0,15268,2015,10,17
45.0,F,49000.0,16004,2017,10,1
51.0,M,77000.0,9442,2017,12,14
56.0,M,60000.0,15628,2018,4,2
35.0,F,40000.0,1836,2015,7,16
83.0,F,73000.0,8772,2018,1,20
70.0,M,114000.0,6451,2015,10,13
71.0,M,93000.0,159,2017,11,25
35.0,M,40000.0,4786,2017,9,29
30.0,M,56000.0,13258,2018,1,13
29.0,M,51000.0,10036,2018,1,16
63.0,M,60000.0,10943,2017,8,9
43.0,M,79000.0,13859,2013,11,12
43.0,F,58000.0,8117,2015,10,7
53.0,F,34000.0,10397,2017,3,11
57.0,F,54000.0,6289,2016,12,20
71.0,M,94000.0,3884,2017,3,23
59.0,F,58000.0,1877,2014,2,14
62.0,M,60000.0,8178,2017,12,27
36.0,F,57000.0,5767,2016,2,17
67.0,M,79000.0,68,2017,8,21
54.0,M,70000.0,5294,2018,6,29
46.0,F,73000.0,13165,2018,1,11
91.0,M,89000.0,6668,2016,11,20
78.0,F,67000.0,10837,2017,10,6
59.0,F,44000.0,6081,2016,3,5
46.0,M,58000.0,3428,2017,8,27
42.0,M,64000.0,12781,2018,3,11
72.0,F,81000.0,14028,2017,12,29
40.0,F,96000.0,3391,2016,3,22
51.0,M,49000.0,1045,2018,3,12
76.0,F,64000.0,6077,2013,12,25
69.0,M,105000.0,4930,2016,10,11
34.0,F,33000.0,4830,2016,10,12
25.0,M,54000.0,16595,2017,2,2
83.0,M,63000.0,9047,2015,11,6
41.0,M,58000.0,7345,2016,11,18
50.0,M,58000.0,5580,2014,1,14
51.0,M,36000.0,2027,2017,12,20
30.0,M,45000.0,6335,2018,6,27
53.0,M,64000.0,10881,2017,10,12
67.0,M,74000.0,2841,2016,2,3
60.0,M,64000.0,3044,2018,7,18
70.0,F,82000.0,12872,2013,11,21
51.0,F,101000.0,15859,2017,11,5
40.0,M,59000.0,1941,2018,7,3
51.0,M,66000.0,406,2015,10,17
95.0,F,81000.0,7032,2017,6,11
52.0,M,31000.0,7201,2017,7,28
74.0,F,71000.0,5090,2017,6,9
60.0,F,71000.0,420,2018,4,10
89.0,F,47000.0,12086,2017,8,16
18.0,M,41000.0,16005,2017,10,27
59.0,M,67000.0,4983,2017,12,2
66.0,M,45000.0,8564,2018,6,25
50.0,F,82000.0,10655,2016,10,22
56.0,F,72000.0,15415,2018,4,21
67.0,M,35000.0,12564,2016,5,25
55.0,M,85000.0,8755,2015,12,8
31.0,M,44000.0,5426,2014,2,13
80.0,F,83000.0,8680,2016,12,17
56.0,F,62000.0,11377,2016,10,27
43.0,M,52000.0,10854,2015,3,15
61.0,M,59000.0,9991,2017,1,11
76.0,F,33000.0,2966,2016,7,18
53.0,F,98000.0,3285,2018,7,15
44.0,M,35000.0,12622,2018,1,24
61.0,M,33000.0,11190,2018,6,20
61.0,M,53000.0,14532,2016,7,28
36.0,M,66000.0,5632,2018,5,7
84.0,F,88000.0,1266,2017,7,2
50.0,M,113000.0,15080,2017,10,6
25.0,F,34000.0,5789,2018,1,13
77.0,F,71000.0,6075,2017,8,29
67.0,M,41000.0,12194,2018,4,11
44.0,M,31000.0,8719,2017,8,3
60.0,F,69000.0,6508,2017,9,26
81.0,M,62000.0,11727,2018,7,15
76.0,M,40000.0,972,2017,9,21
87.0,M,38000.0,16943,2013,8,30
80.0,M,55000.0,9415,2013,8,15
28.0,F,34000.0,16170,2016,6,5
